c,H,oos_r2_median,oos_r2_mean,oos_r2_std,n_obs,lambda_median
0.3,5.0,0.023890638982369594,0.043677592644583166,0.05500276149088416,196,9.26850432068479
0.3,10.0,0.0372020215513405,0.06595025882345372,0.07745754305669719,196,11.676217641950249
0.3,15.0,0.040882619961587374,0.0738292640443548,0.08516021714078537,196,12.64449252586242
0.3,30.0,0.042025026955870626,0.07629067402197427,0.0882669560235752,196,14.165610473019118
0.3,45.0,0.04070717007937863,0.07281929831432196,0.08628209407474866,196,14.581558765801889
0.3,60.0,0.03732354921585651,0.06940034135267742,0.08555531105823243,196,14.283676671590822
0.3,90.0,0.034140077735021035,0.06506092110765409,0.08487301445771968,196,14.705284480519124
0.3,120.0,0.03278191039385231,0.062407902808233794,0.08465105180942413,196,15.001187738310897
0.3,180.0,0.030612057570276963,0.058610297661945164,0.08236972362836759,196,15.135154997215512
0.4,5.0,0.02646489302808913,0.04800675632203839,0.0595672622451641,196,16.96245470428304
0.4,10.0,0.041281497689658386,0.07400321848998363,0.08561109643307085,196,20.66334971959741
0.4,15.0,0.04668490776863293,0.08466326823211402,0.09627607618695809,196,22.03742399751303
0.4,30.0,0.049084515668392004,0.09135492707475584,0.10453517753123952,196,23.79903784818751
0.4,45.0,0.04782387379880182,0.089495286395582,0.10500113423964928,196,24.060867246439273
0.4,60.0,0.04574220523597716,0.08690253474008443,0.10538054131453865,196,24.136395209179334
0.4,90.0,0.0428648971660624,0.0833842356832151,0.10575579566827978,196,24.649560610434833
0.4,120.0,0.041982496160908156,0.08117901683050027,0.10571745857753989,196,24.29154152343044
0.4,180.0,0.04098757878096332,0.07772741011465546,0.1040558980983375,196,24.53192709386267
0.5,5.0,0.028338329500426362,0.05083776603638723,0.06263067370636512,196,28.999885832565322
0.5,10.0,0.04410455907331068,0.07980229563721938,0.0915977293322174,196,34.365310315770586
0.5,15.0,0.049577119239514356,0.09297634295334328,0.10512203633025875,196,36.12373228500864
0.5,30.0,0.052776196336310754,0.1039103902010412,0.11873850478908686,196,37.768908592707774
0.5,45.0,0.053496689879678094,0.10400202936837795,0.12197202142132293,196,38.79917367733796
0.5,60.0,0.052166172811031974,0.1024924065506305,0.12370360967951262,196,38.44035523860534
0.5,90.0,0.05105973038397915,0.10003844342600951,0.12550007391928059,196,38.70899809859199
0.5,120.0,0.04775504345292886,0.09832822964368847,0.1261285688348149,196,38.57534342538731
0.5,180.0,0.046722563429471786,0.09541295074400646,0.1254689419550935,196,38.07257632095755
0.6,5.0,0.029833803532543557,0.05195085316526115,0.06409989160221917,196,48.702657807172244
0.6,10.0,0.04534213350561378,0.08289195239350869,0.09516749915770822,196,55.29129900970504
0.6,15.0,0.052901678269735186,0.09807460652378039,0.1111731770192379,196,56.49512607992713
0.6,30.0,0.05753245548738978,0.11279046857386016,0.1297288207822252,196,58.26532414655209
0.6,45.0,0.05867288680114757,0.11487221738653683,0.13564205166658566,196,58.86143520489602
0.6,60.0,0.05847745731509485,0.11449491887006558,0.13874258531845995,196,58.87719194096354
0.6,90.0,0.0571942927139224,0.11310619139863032,0.14198957501044676,196,58.40408877785434
0.6,120.0,0.054951780927467386,0.1118394087996609,0.14339290965354412,196,57.12976529884819
