train_month,val_month,best_gamma,median_n,oos_r2_raw,oos_r2_univ,oos_r2_reg
1,3,3215.24070027757,2860.0,0.22844389276854926,0.21373853331283432,0.22732212071996427
2,4,2.6870000000000003,2687.0,0.2402748468854904,0.23015968062638603,0.24028026952988024
3,5,1645.0276529252335,2954.0,0.2186632777526657,0.2062664462274988,0.21894040020254824
4,6,314.5154804881852,2909.0,0.22392177328968677,0.21137420734510604,0.22404512311940927
5,7,864.2479558032234,3133.0,0.20834110037746578,0.20329083820767513,0.2107804970862136
6,8,779.0093288184815,2824.0,0.19446639419513556,0.180011259179089,0.19399423200514243
7,9,80.91492816517287,3050.0,0.1971983684423686,0.18813047236568792,0.19731517496408535
8,10,1077.286855352529,3090.0,0.1957953338771412,0.18687889279053183,0.1977951281773831
9,11,476.64738822200434,2760.0,0.2344186787180218,0.2192793545214936,0.2345878285028471
10,12,350.6269175741439,3243.0,0.224334187658067,0.20394295653378203,0.22429054367871215
