train_month,val_month,best_gamma,median_n,oos_r2_raw,oos_r2_univ,oos_r2_reg
1,3,2507.983305667867,2819.5,0.1605917682118304,0.14639983082719654,0.1672477385360578
2,4,1187.9213409277552,2696.0,0.15554573131866567,0.14202678058368878,0.16180988387170347
3,5,3341.152224204524,2972.0,0.13980340214689602,0.12476077652062312,0.14663177885682044
4,6,794.457105877205,2880.0,0.14376314249264532,0.12157730314523607,0.14625074699052332
5,7,2161.763335697229,3071.5,0.12565854296565815,0.1261285541429471,0.1368827173690348
6,8,3139.91862792841,2793.0,0.1192747793810418,0.10520305597108581,0.12450953910434281
7,9,2574.696817966179,2894.5,0.11573512139639275,0.11519327099672327,0.12559567414243888
8,10,4315.063238405522,3037.0,0.11658656010093227,0.12607507375052807,0.13233364779756718
9,11,3049.9818251234433,2713.0,0.14190875859580665,0.13377482026951704,0.151551912786987
10,12,1117.7286919935948,3206.0,0.15240102562932334,0.1438403063966318,0.15842946721627016
