,value
strategy,afs_daily
n_days,250
n_stockdays,4902
total_pnl_unpert,-3107.0376909228853
total_pnl_pert,5763.651153152858
total_pnl_mid_raw,-3107.0376909228853
total_pnl_sim,-3107.0376909228853
total_pnl_mid,-3107.0376909228853
total_impact_cost,8870.688844075743
mean_daily_pnl_unpert,-12.42815076369154
std_daily_pnl_unpert,808.3186809182887
mean_daily_pnl_sim,-12.42815076369154
std_daily_pnl_sim,808.3186809182887
sharpe_unpert,-0.24407548869059909
sharpe_pert,0.45257247242904475
sharpe_mid_raw,-0.24407548869059909
sharpe_sim,-0.24407548869059909
sharpe_mid,-0.24407548869059909
max_drawdown,-16266.750554792212
max_impact_dislocation,0.00041362343713538703
win_rate,0.492
total_turnover,44446010.04369636
total_day_volume,3995423792.0
realized_participation,0.0111242292075975
flow_flag_count,481394
