,value
strategy,afs_daily_high
n_days,250
n_stockdays,4902
total_pnl_unpert,18355.08323096625
total_pnl_pert,601361.1346915845
total_pnl_mid_raw,18355.08323096625
total_pnl_sim,18355.08323096625
total_pnl_mid,18355.08323096625
total_impact_cost,583006.0514606183
mean_daily_pnl_unpert,73.420332923865
std_daily_pnl_unpert,7239.750858287712
mean_daily_pnl_sim,73.420332923865
std_daily_pnl_sim,7239.750858287712
sharpe_unpert,0.16098781233866175
sharpe_pert,5.225034507928499
sharpe_mid_raw,0.16098781233866175
sharpe_sim,0.16098781233866175
sharpe_mid,0.16098781233866175
max_drawdown,-132941.88372192107
max_impact_dislocation,0.0017134113142858176
win_rate,0.5
total_turnover,395677281.34233654
total_day_volume,3995423792.0
realized_participation,0.09903261880118887
flow_flag_count,778369
