,value
strategy,afs_multi
n_days,250
n_stockdays,4902
total_pnl_pert,24966.27409035508
total_pnl_unpert,32662.502804657808
total_pnl_mid_raw,9962.93756718099
total_pnl_sim,24966.27409035508
total_pnl_mid,32662.502804657808
total_impact_cost,7696.228714302773
mean_daily_pnl_pert,99.86509636142033
std_daily_pnl_pert,12928.92716368314
mean_daily_pnl_sim,99.86509636142033
std_daily_pnl_sim,12928.92716368314
sharpe_pert,0.12261723170813353
sharpe_unpert,0.16044462426244815
sharpe_mid_raw,0.06982686183644693
sharpe_sim,0.12261723170813353
sharpe_mid,0.16044462426244815
max_drawdown,-134466.92869989632
max_impact_dislocation,0.00037176667776562394
win_rate,0.468
total_turnover,44037318.32040029
total_day_volume,3995423792.0
realized_participation,0.01102193925174491
flow_flag_count,478912
