,value
strategy,afs_pi_linear_strat_multi
n_days,250
n_stockdays,4902
total_pnl_pert,90438.62322138555
total_pnl_unpert,91984.28070255743
total_pnl_mid_raw,112002.27112518164
total_pnl_sim,90438.62322138555
total_pnl_mid,91984.28070255743
total_impact_cost,1545.6574811718363
mean_daily_pnl_pert,361.7544928855422
std_daily_pnl_pert,5090.307505049329
mean_daily_pnl_sim,361.7544928855422
std_daily_pnl_sim,5090.307505049329
sharpe_pert,1.1281586696513193
sharpe_unpert,1.1475104346542426
sharpe_mid_raw,1.995647304092332
sharpe_sim,1.1281586696513193
sharpe_mid,1.1475104346542426
max_drawdown,-35273.05302550948
max_impact_dislocation,0.00023770309125177537
win_rate,0.492
total_turnover,21464673.705149863
total_day_volume,3995423792.0
realized_participation,0.0053723146335886525
flow_flag_count,443024
