,value
strategy,ow_daily
n_days,250
n_stockdays,4902
total_pnl_pert,77192.65870238414
total_pnl_unpert,78016.52679583541
total_pnl_mid_raw,69357.89333803998
total_pnl_sim,77192.65870238414
total_pnl_mid,78016.52679583541
total_impact_cost,823.8680934512672
mean_daily_pnl_pert,308.77063480953655
std_daily_pnl_pert,1592.5828974930691
mean_daily_pnl_sim,308.77063480953655
std_daily_pnl_sim,1592.5828974930691
sharpe_pert,3.0777561902172788
sharpe_unpert,3.1106205278845986
sharpe_mid_raw,4.255079933547611
sharpe_sim,3.0777561902172788
sharpe_mid,3.1106205278845986
max_drawdown,-11288.587792551101
max_impact_dislocation,3.961626543008809e-05
win_rate,0.588
total_turnover,48069332.675364055
total_day_volume,3995423792.0
realized_participation,0.012031097369849184
flow_flag_count,498293
