,value
strategy,ow_multi
n_days,250
n_stockdays,4902
total_pnl_pert,419119.06390708615
total_pnl_unpert,419941.953630491
total_pnl_mid_raw,323901.2295134376
total_pnl_sim,419119.06390708615
total_pnl_mid,419941.953630491
total_impact_cost,822.8897234048088
mean_daily_pnl_pert,1676.4762556283447
std_daily_pnl_pert,13780.023923649238
mean_daily_pnl_sim,1676.4762556283447
std_daily_pnl_sim,13780.023923649238
sharpe_pert,1.9312909509620324
sharpe_unpert,1.935043224837878
sharpe_mid_raw,2.0094445281862807
sharpe_sim,1.9312909509620324
sharpe_mid,1.935043224837878
max_drawdown,-111802.4464022253
max_impact_dislocation,3.9507524399737216e-05
win_rate,0.564
total_turnover,48076489.68745925
total_day_volume,3995423792.0
realized_participation,0.01203288867221604
flow_flag_count,498307
