stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-49.66162113241538,41.28885553113111,90.95047666354648,14386.60786634644,464256.2585687478,2860.988265543616,41.2888555311261
AAL,2019-01-03,220.5124415033667,212.942136808686,-7.5703046946806865,29519.71869346162,884245.8284176684,5983.778576740551,212.9421368086721
AAL,2019-01-04,-202.43887588344123,-242.40415107308095,-39.965275189639726,28659.42926677595,907904.2203772321,5900.838051019555,-242.40415107304563
AAL,2019-01-07,-174.105185053206,-167.05828388393326,7.046901169272729,27551.426809461147,906900.5935625359,5556.981310931599,-167.0582838839365
AAL,2019-01-08,269.259807023049,614.0451799505755,344.7853729275265,25982.805523290568,848644.7791911125,5319.3886743789235,614.0451799506867
AAL,2019-01-09,-270.5541073844029,-307.0130117758432,-36.458904391440285,269.3169068877089,8774.527312500035,58.59622354167525,-307.0130117758534
AAL,2019-01-10,-881.9771564802584,-1138.1356277445927,-256.15847126433437,25566.411035852056,798578.2102243311,5190.144850112876,-1138.135627744586
AAL,2019-01-11,113.72978460329726,20.736102768994677,-92.99368183430258,24870.50581218347,786788.9141865002,5138.271859318438,20.73610276900967
AAL,2019-01-14,-30.6059646665518,-82.75146797753635,-52.14550331098455,24172.201688242036,764409.9470732794,4867.596129864098,-82.75146797756676
AAL,2019-01-15,15.289352017693663,-131.7527671763462,-147.04211919403986,23678.098734987187,760222.7399350198,4973.834467106779,-131.7527671763443
AAL,2019-01-16,-99.30408807756555,-89.18297469176538,10.121113385800172,23848.602710123254,792124.8416652835,4739.98314100658,-89.18297469175934
AAL,2019-01-17,106.12246995637634,59.460251336133894,-46.66221862024244,23098.094609215004,768863.6572945416,4682.041558240608,59.46025133615328
AAL,2019-01-18,94.8901669633169,60.15327096870294,-34.73689599461396,22823.76017730026,771921.8881339037,4739.585038717631,60.15327096867822
AAL,2019-01-22,148.80209233129193,-67.72576263134913,-216.52785496264107,22769.995734034397,754412.7242773518,4762.531210274597,-67.72576263135443
AAL,2019-01-23,-315.7310803871623,-561.0769447067407,-245.34586431957842,23825.45281648331,768003.1477708889,4898.444510675898,-561.0769447067385
AAL,2019-01-24,-239.8280576818286,-96.7664099490834,143.0616477327452,24190.170181547634,805676.0038075594,4889.799742961238,-96.76640994910034
AAL,2019-01-25,613.6559554204107,347.5852439198753,-266.07071150053537,24878.605217336335,872477.9652444022,5132.277940951226,347.5852439198575
AAL,2019-01-28,188.55257070157552,286.4219292035221,97.86935850194658,25412.68656209745,918964.8605501519,5276.542521272492,286.4219292035237
AAL,2019-01-29,13.7353389835001,93.2615655739394,79.5262265904393,25381.454574638614,926890.9264586455,5181.992334285079,93.26156557394954
AAL,2019-01-30,-122.74629854900215,84.05995568300108,206.80625423200323,25217.879958805905,918436.0417859193,5110.326285164845,84.05995568299139
AAL,2019-01-31,44.79208723222697,68.97655221122228,24.184464978995315,25864.55844762375,933185.9796806506,5117.199042953547,68.97655221126486
AAL,2019-02-01,92.9571884611214,-83.8387610212501,-176.7959494823715,24588.01311387302,892296.4445269227,5057.715660308942,-83.83876102110958
AAL,2019-02-04,-581.2666169021385,-440.4797128804066,140.78690402173186,24008.52487401534,879674.4228686308,4792.489411985226,-440.47971288028936
AAL,2019-02-05,-114.7726946820476,-9.08676644636273,105.68592823568487,23879.94189918815,882223.740710071,4781.130358830769,-9.086766446423312
AAL,2019-02-06,-526.5084030450989,37.73174380145514,564.2401468465541,23725.67596264849,873408.4654601729,4802.742506913701,37.73174380115228
AAL,2019-02-07,-67.30819220502332,388.3796139395429,455.6878061445662,25135.469655624292,912890.4977860625,5144.072438041113,388.3796139396266
AAL,2019-02-08,-430.578446151968,-57.31587365601388,373.26257249595415,23564.798583238975,843977.7368623149,4739.001731246352,-57.31587365581291
AAL,2019-02-11,-648.7322474552782,-659.6657157964116,-10.933468341133448,23520.793133992942,857109.9703687956,4781.6081139859725,-659.6657157965547
AAL,2019-02-12,693.7674699505105,1076.2358072758082,382.4683373252976,24196.01999352426,887165.4083039577,4906.063618094096,1076.235807275831
